artifact_id,artifact_type,title,claim,source_count,output_count,warnings,outputs
T1_stagewise_model_complexity,table,Stage-wise model complexity and scope,The formulation grows from validation to integrated stochastic optimization without breaking the data gate.,50,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T1_stagewise_model_complexity.csv; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T1_stagewise_model_complexity.md; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T1_stagewise_model_complexity.tex
T2_baseline_and_ablation,table,Baseline comparison and ablation study,"The integrated model improves or explains trade-offs relative to deterministic, stochastic, CVaR, selective-assembly, and matheuristic baselines.",2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T2_baseline_and_ablation.csv; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T2_baseline_and_ablation.md; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T2_baseline_and_ablation.tex
T3_pareto_payoff_and_representatives,table,Payoff table and representative Pareto solutions,Stage 7 yields a compact payoff table and representative Pareto points that support trade-off interpretation.,2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T3_pareto_payoff_and_representatives.csv; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T3_pareto_payoff_and_representatives.md; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T3_pareto_payoff_and_representatives.tex
T4_exact_vs_matheuristic_and_top5,table,Exact vs matheuristic gap and top5 benchmark summary,The matheuristic closely tracks exact Pareto anchors and scales across the top5 benchmark suite.,2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T4_exact_vs_matheuristic_and_top5.csv; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T4_exact_vs_matheuristic_and_top5.md; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T4_exact_vs_matheuristic_and_top5.tex
T5_risk_selective_assembly_metrics,table,Risk-averse selective-assembly metrics,Stage 5 and Stage 6 jointly quantify how reliability filtering and selective assembly reshape backlog and CVaR.,2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T5_risk_selective_assembly_metrics.csv; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T5_risk_selective_assembly_metrics.md; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T5_risk_selective_assembly_metrics.tex
T6_stage10_strengthening,table,Targeted strengthening results,Stage 10 adds pair-carbon accounting and a shared-capacity extension without disturbing the canonical pipeline.,4,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T6_stage10_strengthening.csv; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T6_stage10_strengthening.md; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T6_stage10_strengthening.tex
T7_saa_sensitivity_manifest,table,SAA stability and sensitivity manifest,The report records what robustness evidence is available and what remains optional.,2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T7_saa_sensitivity_manifest.csv; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T7_saa_sensitivity_manifest.md; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\tables\T7_saa_sensitivity_manifest.tex
F1_model_architecture,figure,Integrated stochastic optimization architecture,"The proposed model integrates first-stage acceptance/procurement, scenario recourse, CVaR reliability risk, and selective assembly.",4,4,existing_drawio_source_preserved,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F1_model_architecture.drawio; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F1_model_architecture.png; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F1_model_architecture.svg; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F1_model_architecture.pdf
F2_data_to_model_pipeline,figure,Data-to-model pipeline,The experiment evidence is traceable from raw CSV validation to manuscript-ready tables and figures.,1,4,existing_drawio_source_preserved,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F2_data_to_model_pipeline.drawio; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F2_data_to_model_pipeline.png; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F2_data_to_model_pipeline.svg; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F2_data_to_model_pipeline.pdf
F3_pareto_tradeoff_panels,figure,Pareto trade-off panels,The augmented epsilon-constraint model quantifies economic-risk trade-offs against environmental and assembly-quality objectives.,2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F3_pareto_tradeoff_panels.png; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F3_pareto_tradeoff_panels.svg; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F3_pareto_tradeoff_panels.pdf
F4_baseline_ablation_comparison,figure,Baseline and ablation comparison,"Baseline and ablation results isolate the contribution of stochasticity, CVaR, selective assembly, Pareto analysis, and matheuristic approximation.",2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F4_baseline_ablation_comparison.png; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F4_baseline_ablation_comparison.svg; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F4_baseline_ablation_comparison.pdf
F5_matheuristic_convergence,figure,Matheuristic convergence and operator scores,ALNS-guided restricted MILP repair provides a reproducible search trajectory and interpretable operator contributions.,2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F5_matheuristic_convergence.png; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F5_matheuristic_convergence.svg; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F5_matheuristic_convergence.pdf
F6_exact_vs_matheuristic_top5,figure,Exact-vs-matheuristic and top5 benchmark,The matheuristic preserves the exact economic anchor while scaling runtime and feasibility across machine types.,2,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F6_exact_vs_matheuristic_top5.png; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F6_exact_vs_matheuristic_top5.svg; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F6_exact_vs_matheuristic_top5.pdf
F7_route_mix_and_operational_shift,figure,Route mix and operational shift,"Adding uncertainty, risk, and assembly constraints changes route use, backlog, and expected assembly output.",6,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F7_route_mix_and_operational_shift.png; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F7_route_mix_and_operational_shift.svg; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F7_route_mix_and_operational_shift.pdf
F8_stage10_strengthening,figure,Stage 10 strengthening evidence,Pair-carbon coefficients and shared-capacity coupling address two likely reviewer concerns without replacing the main model.,3,3,,D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F8_stage10_strengthening.png; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F8_stage10_strengthening.svg; D:\File Station\Science\论文WIP\Remanufacturing\data\results\stage11\figures\F8_stage10_strengthening.pdf
